voteratio,NtoA_ratio,NtoB_ratio,AtoB_ratio,BtoA_ratio,A得票率,B得票率,逆転,投票率
55.62,20.81,79.19,4.38,3.89,51.2,48.8,0,77.81
54.07,21.46,78.54,9.94,4.71,49.37,50.63,1,77.04
45.0,19.23,80.77,2.57,3.34,53.7,46.3,0,72.5
53.11,19.95,80.05,8.23,2.77,49.42,50.58,1,76.56
51.78,17.75,82.25,4.58,1.41,50.34,49.66,0,75.89
45.82,21.54,78.46,6.82,1.8,51.87,48.13,0,72.91
45.52,23.83,76.17,1.67,1.23,55.01,44.99,0,72.76
45.35,18.07,81.93,2.08,2.09,53.23,46.77,0,72.68
55.4,21.22,78.78,6.31,2.69,50.29,49.71,0,77.7
56.77,18.59,81.41,0.23,4.59,52.16,47.84,0,78.39
42.15,22.07,77.93,5.2,4.3,54.13,45.87,0,71.08
44.88,24.68,75.32,9.92,2.32,51.65,48.35,0,72.44
52.98,20.44,79.56,1.61,2.8,52.65,47.35,0,76.49
42.93,21.71,78.29,7.51,1.76,52.19,47.81,0,71.47
53.72,18.47,81.53,9.97,0.55,47.56,52.44,1,76.86
41.9,19.47,80.53,1.14,0.55,54.63,45.37,0,70.95
52.86,16.86,83.14,2.81,0.32,50.4,49.6,0,76.43
40.95,17.21,82.79,8.19,2.64,51.16,48.84,0,70.47
54.59,16.62,83.38,2.93,1.14,50.04,49.96,0,77.29
45.07,23.31,76.69,3.01,1.98,54.45,45.55,0,72.53
40.25,17.68,82.32,8.28,1.67,51.21,48.79,0,70.13
46.17,19.34,80.66,2.96,3.67,53.33,46.67,0,73.09
53.16,22.91,77.09,4.61,4.51,52.43,47.57,0,76.58
57.49,24.15,75.85,8.76,0.1,49.39,50.61,1,78.74
44.56,19.04,80.96,7.79,1.11,50.75,49.25,0,72.28
58.87,21.42,78.58,2.93,0.48,50.8,49.2,0,79.44
47.28,17.75,82.25,4.13,2.86,51.85,48.15,0,73.64
50.36,21.8,78.2,7.73,0.84,50.43,49.57,0,75.18
48.54,21.32,78.68,1.89,3.95,54.0,46.0,0,74.27
53.21,17.42,82.58,7.28,4.19,49.23,50.77,1,76.61
51.38,16.67,83.33,7.18,4.94,49.56,50.44,1,75.69
49.71,22.91,77.09,0.91,1.45,54.23,45.77,0,74.85
56.5,15.88,84.12,0.5,4.59,51.12,48.88,0,78.25
45.03,20.12,79.88,7.14,0.05,51.08,48.92,0,72.51
52.88,20.15,79.85,3.55,4.71,52.06,47.94,0,76.44
44.61,16.33,83.67,5.66,2.96,51.32,48.68,0,72.3
44.25,15.98,84.02,7.26,3.09,50.55,49.45,0,72.13
56.38,19.64,80.36,1.49,0.39,51.25,48.75,0,78.19
44.99,20.63,79.37,2.55,1.4,53.74,46.26,0,72.5
41.28,15.35,84.65,7.9,0.98,50.33,49.67,0,70.64
43.43,23.03,76.97,3.92,2.38,54.36,45.64,0,71.72
51.47,17.53,82.47,7.42,2.26,49.19,50.81,1,75.73
56.24,19.89,80.11,2.14,0.7,51.14,48.86,0,78.12
57.52,17.98,82.02,6.3,1.37,48.47,51.53,1,78.76
47.05,17.12,82.88,6.43,4.22,50.88,49.12,0,73.52
57.17,17.07,82.93,3.59,2.84,49.69,50.31,1,78.58
45.72,21.26,78.74,8.47,4.25,51.51,48.49,0,72.86
55.64,19.62,80.38,5.13,0.36,49.75,50.25,1,77.82
57.99,18.69,81.31,2.67,3.81,50.71,49.29,0,79.0
57.25,22.41,77.59,5.16,2.52,50.86,49.14,0,78.62
54.88,21.02,78.98,8.65,0.58,48.85,51.15,1,77.44
40.97,23.24,76.76,2.79,0.26,55.08,44.92,0,70.48
58.66,21.85,78.15,6.95,4.3,49.95,50.05,1,79.33
53.47,21.95,78.05,0.09,0.43,53.3,46.7,0,76.73
47.93,18.38,81.62,2.05,4.7,53.26,46.74,0,73.97
45.46,20.16,79.84,4.42,0.85,52.47,47.53,0,72.73
44.13,21.4,78.6,7.07,1.87,52.07,47.93,0,72.07
54.55,22.62,77.38,0.1,1.62,53.55,46.45,0,77.28
56.37,23.68,76.32,8.44,3.45,50.19,49.81,0,78.18
54.71,18.45,81.55,8.67,3.84,48.59,51.41,1,77.35
55.24,19.15,80.85,6.13,0.23,49.19,50.81,1,77.62
45.76,19.95,80.05,7.64,4.36,51.52,48.48,0,72.88
55.71,17.79,82.21,8.1,4.5,48.55,51.45,1,77.85
47.48,15.02,84.98,8.23,3.51,49.11,50.89,1,73.74
43.32,15.34,84.66,5.01,3.47,51.76,48.24,0,71.66
52.29,18.23,81.77,1.99,4.37,52.17,47.83,0,76.15
57.46,24.75,75.25,7.02,2.66,50.87,49.13,0,78.73
56.76,20.59,79.41,7.26,4.83,49.79,50.21,1,78.38
53.16,21.8,78.2,4.65,2.02,51.54,48.46,0,76.58
55.98,24.13,75.87,4.08,3.37,52.35,47.65,0,77.99
54.41,17.75,82.25,8.61,1.76,48.03,51.97,1,77.21
43.72,16.16,83.84,9.43,0.12,49.06,50.94,1,71.86
47.72,18.13,81.87,5.07,4.61,51.78,48.22,0,73.86
52.55,22.12,77.88,4.04,2.18,52.08,47.92,0,76.27
51.67,22.41,77.59,6.06,1.75,51.34,48.66,0,75.84
41.09,17.96,82.04,1.72,3.75,54.79,45.21,0,70.54
50.09,15.19,84.81,5.84,4.07,49.8,50.2,1,75.05
57.19,18.24,81.76,0.04,0.53,51.25,48.75,0,78.6
47.49,24.13,75.87,7.25,0.15,51.82,48.18,0,73.74
47.42,19.98,80.02,6.62,2.98,51.37,48.63,0,73.71
57.46,16.46,83.54,1.8,1.11,49.88,50.12,1,78.73
51.06,16.04,83.96,2.85,1.63,50.76,49.24,0,75.53
45.97,24.46,75.54,8.87,0.06,51.42,48.58,0,72.99
42.41,16.91,83.09,4.09,4.7,53.17,46.83,0,71.2
50.81,24.9,75.1,9.6,0.72,50.5,49.5,0,75.4
47.69,18.91,81.09,3.53,4.85,52.81,47.19,0,73.84
40.17,21.5,78.5,3.74,2.97,54.87,45.13,0,70.08
42.68,15.91,84.09,6.67,3.24,51.23,48.77,0,71.34
46.62,18.76,81.24,7.19,0.55,50.39,49.61,0,73.31
59.04,22.16,77.84,7.91,2.83,49.29,50.71,1,79.52
58.86,20.68,79.32,9.2,1.66,47.98,52.02,1,79.43
52.27,15.68,84.32,4.38,1.68,49.67,50.33,1,76.14
40.55,21.37,78.63,2.81,4.93,55.62,44.38,0,70.28
40.37,24.05,75.95,8.57,1.88,52.91,47.09,0,70.18
52.24,24.9,75.1,6.54,2.41,51.99,48.01,0,76.12
58.97,16.48,83.52,1.65,2.87,49.96,50.04,1,79.48
51.79,16.98,83.02,9.29,3.33,48.29,51.71,1,75.89
52.38,24.47,75.53,1.56,1.39,53.9,46.1,0,76.19
44.41,20.66,79.34,5.58,2.93,52.73,47.27,0,72.21
54.59,17.37,82.63,3.65,4.68,50.67,49.33,0,77.3
51.19,15.29,84.71,9.41,3.49,47.81,52.19,1,75.6
57.81,18.38,81.62,6.32,1.9,48.65,51.35,1,78.9
56.53,20.72,79.28,6.95,0.48,49.19,50.81,1,78.27
53.09,16.14,83.86,9.96,0.67,46.9,53.1,1,76.54
42.45,19.07,80.93,1.06,4.69,55.29,44.71,0,71.23
47.56,21.69,78.31,1.49,3.32,54.39,45.61,0,73.78
57.99,17.77,82.23,1.13,4.47,51.18,48.82,0,78.99
59.83,22.63,77.37,4.89,2.02,50.51,49.49,0,79.92
51.47,20.18,79.82,9.27,1.13,49.01,50.99,1,75.74
56.12,15.91,84.09,5.38,3.18,48.75,51.25,1,78.06
44.77,15.39,84.61,8.2,1.1,49.38,50.62,1,72.39
47.3,22.31,77.69,9.49,0.52,50.28,49.72,0,73.65
42.86,22.02,77.98,3.49,2.74,54.47,45.53,0,71.43
57.19,17.12,82.88,2.29,3.78,50.46,49.54,0,78.6
57.02,17.78,82.22,4.9,2.57,49.34,50.66,1,78.51
40.38,16.68,83.32,7.48,3.36,51.65,48.35,0,70.19
50.35,23.41,76.59,7.31,3.31,51.65,48.35,0,75.17
58.08,15.31,84.69,9.4,2.73,46.26,53.74,1,79.04
42.64,24.24,75.76,5.34,0.99,53.91,46.09,0,71.32
42.19,24.81,75.19,0.55,3.03,56.96,43.04,0,71.1
48.53,20.66,79.34,2.75,3.69,53.33,46.67,0,74.27
42.77,18.69,81.31,2.75,0.39,53.36,46.64,0,71.38
58.1,20.08,79.92,3.94,1.84,50.26,49.74,0,79.05
50.48,21.79,78.21,7.88,0.83,50.32,49.68,0,75.24
46.25,20.55,79.45,0.73,0.66,54.15,45.85,0,73.12
45.47,18.91,81.09,0.02,0.25,54.07,45.93,0,72.74
47.36,16.76,83.24,3.86,1.15,51.29,48.71,0,73.68
58.08,21.07,78.93,9.98,0.29,47.66,52.34,1,79.04
40.34,21.34,78.66,8.79,1.42,51.93,48.07,0,70.17
53.59,21.85,78.15,1.4,4.8,53.5,46.5,0,76.79
55.6,19.63,80.37,0.48,3.54,52.47,47.53,0,77.8
44.88,24.03,75.97,4.58,1.98,53.96,46.04,0,72.44
44.04,19.97,80.03,5.83,1.41,52.17,47.83,0,72.02
49.54,22.2,77.8,1.16,1.9,54.0,46.0,0,74.77
41.94,23.89,76.11,1.2,3.28,56.47,43.53,0,70.97
46.18,20.79,79.21,4.04,2.35,53.0,47.0,0,73.09
56.6,22.02,77.98,3.69,1.5,51.3,48.7,0,78.3
44.32,20.48,79.52,1.51,3.98,54.88,45.12,0,72.16
48.05,24.65,75.35,0.86,1.68,55.21,44.79,0,74.03
57.29,23.85,76.15,9.44,4.24,49.8,50.2,1,78.64
47.55,23.39,76.61,2.53,3.6,54.51,45.49,0,73.77
49.91,15.14,84.86,8.62,3.49,48.41,51.59,1,74.95
45.73,24.88,75.12,3.09,1.38,54.64,45.36,0,72.86
50.91,21.07,78.93,6.28,3.2,51.21,48.79,0,75.46
48.07,21.02,78.98,1.59,2.25,53.8,46.2,0,74.03
40.44,16.81,83.19,5.05,3.15,52.84,47.16,0,70.22
49.04,15.86,84.14,7.35,0.1,48.75,51.25,1,74.52
46.98,19.48,80.52,0.42,4.89,54.65,45.35,0,73.49
42.0,15.17,84.83,0.64,0.04,53.48,46.52,0,71.0
51.64,24.18,75.82,9.23,0.45,50.23,49.77,0,75.82
57.19,22.01,77.99,6.4,2.32,50.13,49.87,0,78.59
51.87,15.82,84.18,9.58,1.15,47.3,52.7,1,75.94
54.5,15.76,84.24,3.04,1.2,49.72,50.28,1,77.25
46.77,21.21,78.79,3.97,4.58,53.5,46.5,0,73.38
58.07,19.47,80.53,9.33,2.41,47.76,52.24,1,79.04
48.51,18.53,81.47,0.84,3.56,53.51,46.49,0,74.26
55.53,17.34,82.66,4.26,0.52,49.38,50.62,1,77.76
47.44,23.25,76.75,9.79,0.02,50.31,49.69,0,73.72
59.79,19.68,80.32,9.9,3.59,47.51,52.49,1,79.89
56.96,18.61,81.39,6.86,1.45,48.57,51.43,1,78.48
55.07,20.42,79.58,8.02,1.88,49.13,50.87,1,77.53
57.82,22.5,77.5,4.5,0.6,50.72,49.28,0,78.91
52.31,17.46,82.54,4.8,3.19,50.38,49.62,0,76.16
41.12,19.5,80.5,6.68,2.25,52.45,47.55,0,70.56
41.26,19.04,80.96,8.01,4.91,52.19,47.81,0,70.63
41.98,15.05,84.95,3.58,2.67,52.55,47.45,0,70.99
54.08,17.73,82.27,6.99,1.77,48.82,51.18,1,77.04
48.19,20.01,79.99,2.74,1.77,52.81,47.19,0,74.1
42.15,21.59,78.41,9.53,0.72,51.11,48.89,0,71.07
53.06,21.03,78.97,1.27,0.94,52.63,47.37,0,76.53
55.91,17.65,82.35,9.81,3.78,47.55,52.45,1,77.95
53.26,18.61,81.39,7.98,3.85,49.25,50.75,1,76.63
53.64,20.86,79.14,8.45,0.17,49.03,50.97,1,76.82
55.27,23.41,76.59,7.92,1.58,50.15,49.85,0,77.64
48.78,23.51,76.49,1.67,2.81,54.54,45.46,0,74.39
57.62,17.11,82.89,1.43,3.01,50.6,49.4,0,78.81
52.42,18.29,81.71,0.97,1.39,52.04,47.96,0,76.21
45.38,19.39,80.61,0.76,4.73,54.82,45.18,0,72.69
55.8,16.01,83.99,0.6,0.41,50.47,49.53,0,77.9
58.6,15.66,84.34,0.37,0.14,49.79,50.21,1,79.3
47.31,20.56,79.44,7.87,3.17,51.03,48.97,0,73.65
55.88,16.49,83.51,0.34,3.89,51.41,48.59,0,77.94
52.38,15.52,84.48,0.74,3.87,51.69,48.31,0,76.19
42.23,19.93,80.07,4.28,2.61,53.58,46.42,0,71.11
48.15,16.22,83.78,4.28,3.62,51.23,48.77,0,74.08
48.79,22.47,77.53,8.15,0.47,50.68,49.32,0,74.4
50.35,22.95,77.05,5.69,3.5,52.29,47.71,0,75.18
43.67,18.39,81.61,5.89,3.04,52.08,47.92,0,71.83
54.21,20.3,79.7,6.15,1.79,50.09,49.91,0,77.11
49.93,22.86,77.14,5.15,2.43,52.38,47.62,0,74.96
42.67,21.39,78.61,1.71,2.79,55.21,44.79,0,71.33
41.72,16.78,83.22,9.5,3.22,50.32,49.68,0,70.86
51.18,20.83,79.17,7.79,4.08,50.55,49.45,0,75.59
59.93,23.62,76.38,0.92,0.6,52.33,47.67,0,79.96
47.93,16.4,83.6,6.67,4.21,50.33,49.67,0,73.97
53.06,22.19,77.81,4.57,4.4,52.2,47.8,0,76.53
42.92,15.81,84.19,3.22,1.48,52.46,47.54,0,71.46
53.17,17.96,82.04,6.79,2.35,49.29,50.71,1,76.59
42.4,22.65,77.35,8.17,0.3,51.95,48.05,0,71.2
52.1,15.93,84.07,4.41,0.1,49.47,50.53,1,76.05
51.24,23.55,76.45,2.77,1.1,53.2,46.8,0,75.62
50.91,17.97,82.03,1.23,3.96,52.66,47.34,0,75.46
45.11,21.66,78.34,7.22,2.39,51.98,48.02,0,72.56
43.95,21.94,78.06,1.56,0.93,54.76,45.24,0,71.98
46.41,15.08,84.92,7.56,4.8,49.96,50.04,1,73.2
54.19,19.53,80.47,2.94,1.1,51.14,48.86,0,77.09
46.32,20.57,79.43,3.25,4.69,53.76,46.24,0,73.16
52.88,23.2,76.8,3.25,3.05,52.93,47.07,0,76.44
42.86,16.47,83.53,3.35,4.14,53.16,46.84,0,71.43
53.2,23.13,76.87,4.76,4.91,52.51,47.49,0,76.6
52.68,17.0,83.0,6.45,2.62,49.27,50.73,1,76.34
47.95,19.59,80.41,0.36,3.22,54.14,45.86,0,73.97
58.45,23.49,76.51,5.49,1.59,50.72,49.28,0,79.23
40.2,22.11,77.89,3.76,2.86,55.01,44.99,0,70.1
59.7,19.39,80.61,4.15,4.79,50.16,49.84,0,79.85
40.74,15.35,84.65,9.0,4.52,50.67,49.33,0,70.37
59.91,18.18,81.82,4.72,0.01,48.52,51.48,1,79.96
50.48,17.61,82.39,9.36,2.66,48.6,51.4,1,75.24
42.43,15.88,84.12,7.45,2.0,50.63,49.37,0,71.22
57.45,21.57,78.43,7.49,1.33,49.25,50.75,1,78.72
55.69,20.33,79.67,2.0,3.07,51.93,48.07,0,77.85
53.33,15.08,84.92,5.53,4.41,49.24,50.76,1,76.66
56.26,23.82,76.18,6.92,2.36,50.73,49.27,0,78.13
48.85,17.3,82.7,4.68,1.91,50.89,49.11,0,74.43
57.38,18.32,81.68,5.05,4.75,49.82,50.18,1,78.69
49.36,16.54,83.46,8.17,2.71,49.05,50.95,1,74.68
54.34,19.88,80.12,5.9,4.85,50.62,49.38,0,77.17
48.49,16.46,83.54,9.81,3.49,48.6,51.4,1,74.25
48.63,24.49,75.51,0.31,2.99,55.57,44.43,0,74.32
50.94,17.45,82.55,6.76,1.02,49.33,50.67,1,75.47
45.39,18.8,81.2,0.1,2.41,54.46,45.54,0,72.7
58.17,19.34,80.66,8.53,3.38,48.24,51.76,1,79.08
44.63,17.79,82.21,9.93,1.13,49.32,50.68,1,72.32
53.55,17.87,82.13,5.24,2.82,49.98,50.02,1,76.77
41.67,24.91,75.09,9.12,4.33,53.14,46.86,0,70.84
57.7,22.74,77.26,9.53,2.23,48.9,51.1,1,78.85
49.04,23.44,76.56,2.91,0.36,53.39,46.61,0,74.52
52.48,20.6,79.4,8.06,0.33,49.37,50.63,1,76.24
41.45,25.0,75.0,1.48,2.29,56.56,43.44,0,70.72
44.58,16.85,83.15,9.71,1.0,49.12,50.88,1,72.29
41.76,24.32,75.68,3.05,1.39,55.33,44.67,0,70.88
42.69,22.61,77.39,2.59,3.9,55.37,44.63,0,71.35
53.7,15.09,84.91,1.39,3.91,50.95,49.05,0,76.85
56.39,18.85,81.15,7.0,2.47,48.9,51.1,1,78.19
56.77,19.11,80.89,7.13,1.47,48.67,51.33,1,78.39
48.3,23.97,76.03,4.98,3.9,53.45,46.55,0,74.15
43.42,15.36,84.64,8.52,0.03,49.31,50.69,1,71.71
51.12,23.01,76.99,8.91,1.13,50.2,49.8,0,75.56
55.58,20.83,79.17,6.85,4.51,50.22,49.78,0,77.79
50.04,23.87,76.13,5.07,4.57,53.16,46.84,0,75.02
57.7,16.42,83.58,0.87,0.79,50.16,49.84,0,78.85
42.32,22.17,77.83,8.75,1.89,51.87,48.13,0,71.16
42.95,22.76,77.24,3.78,0.89,54.14,45.86,0,71.48
46.4,16.3,83.7,8.95,2.98,49.31,50.69,1,73.2
42.01,16.16,83.84,2.89,4.88,53.68,46.32,0,71.01
55.8,15.4,84.6,4.83,0.04,48.28,51.72,1,77.9
44.9,24.6,75.4,8.05,3.28,52.72,47.28,0,72.45
45.54,20.14,79.86,0.08,3.37,55.06,44.94,0,72.77
44.46,22.93,77.07,4.88,4.84,54.15,45.85,0,72.23
57.29,18.33,81.67,9.71,4.83,47.78,52.22,1,78.65
40.02,21.16,78.84,3.27,1.83,54.8,45.2,0,70.01
59.67,19.51,80.49,9.34,3.6,47.71,52.29,1,79.84
43.02,18.42,81.58,7.16,2.73,51.55,48.45,0,71.51
40.74,17.75,82.25,7.39,3.02,51.84,48.16,0,70.37
50.86,24.13,75.87,2.92,3.77,53.93,46.07,0,75.43
44.26,22.08,77.92,3.42,1.89,54.03,45.97,0,72.13
58.96,23.35,76.65,1.36,3.23,52.71,47.29,0,79.48
44.96,15.27,84.73,9.18,1.78,48.96,51.04,1,72.48
55.38,19.59,80.41,0.31,1.44,52.17,47.83,0,77.69
47.25,24.27,75.73,1.94,0.62,54.53,45.47,0,73.63
43.52,23.22,76.78,9.9,4.59,51.94,48.06,0,71.76
52.18,20.9,79.1,7.12,4.25,50.72,49.28,0,76.09
46.02,17.45,82.55,7.18,0.8,50.16,49.84,0,73.01
58.01,18.47,81.53,6.4,4.23,49.05,50.95,1,79.0
46.34,17.21,82.79,8.31,1.48,49.61,50.39,1,73.17
45.42,15.21,84.79,4.8,3.88,51.37,48.63,0,72.71
46.63,24.45,75.55,4.79,2.63,53.76,46.24,0,73.31
50.67,19.5,80.5,7.7,0.24,49.49,50.51,1,75.34
42.37,19.56,80.44,1.67,0.7,54.32,45.68,0,71.18
53.92,24.62,75.38,6.77,3.03,51.62,48.38,0,76.96
45.49,18.43,81.57,0.18,2.45,54.3,45.7,0,72.75
57.03,16.57,83.43,8.81,1.78,47.0,53.0,1,78.52
46.02,16.3,83.7,1.7,0.83,52.43,47.57,0,73.01
52.45,23.83,76.17,2.69,1.31,53.14,46.86,0,76.23
56.4,21.58,78.42,1.67,1.39,52.06,47.94,0,78.2
58.49,21.0,79.0,9.93,4.02,48.29,51.71,1,79.24
58.25,17.05,82.95,8.1,0.01,46.93,53.07,1,79.12
45.84,19.32,80.68,8.97,3.42,50.47,49.53,0,72.92
44.15,16.16,83.84,9.93,3.14,49.34,50.66,1,72.08
44.85,24.49,75.51,7.28,1.67,52.74,47.26,0,72.42
58.59,17.28,82.72,8.17,3.04,47.49,52.51,1,79.3
59.93,22.86,77.14,8.85,3.98,49.21,50.79,1,79.97
47.37,20.74,79.26,2.07,2.89,53.77,46.23,0,73.68
48.58,18.94,81.06,1.39,0.4,52.73,47.27,0,74.29
49.44,18.84,81.16,5.55,4.03,51.28,48.72,0,74.72
51.55,19.89,80.11,8.39,0.61,49.2,50.8,1,75.78
54.9,22.25,77.75,8.59,0.81,49.35,50.65,1,77.45
48.95,22.61,77.39,3.31,2.2,53.32,46.68,0,74.47
42.02,18.96,81.04,3.65,4.01,53.95,46.05,0,71.01
57.2,23.8,76.2,7.25,3.32,50.59,49.41,0,78.6
55.1,22.57,77.43,5.64,2.41,51.07,48.93,0,77.55
45.51,19.65,80.35,7.42,4.58,51.63,48.37,0,72.76
44.28,22.81,77.19,1.43,3.68,55.59,44.41,0,72.14
42.39,21.34,78.66,3.84,1.03,53.84,46.16,0,71.2
55.96,22.39,77.61,4.28,0.14,51.02,48.98,0,77.98
56.13,23.17,76.83,2.99,1.01,52.02,47.98,0,78.07
40.36,22.77,77.23,3.16,4.23,55.75,44.25,0,70.18
47.66,22.79,77.21,1.3,1.13,54.37,45.63,0,73.83
57.6,24.05,75.95,9.67,1.55,49.2,50.8,1,78.8
46.9,18.43,81.57,2.54,4.27,53.2,46.8,0,73.45
52.46,22.75,77.25,1.78,1.85,53.29,46.71,0,76.23
56.36,21.46,78.54,0.84,4.32,52.96,47.04,0,78.18
48.62,15.84,84.16,5.2,2.09,50.26,49.74,0,74.31
43.08,15.02,84.98,0.74,4.29,53.98,46.02,0,71.54
41.36,24.5,75.5,5.82,4.14,54.69,45.31,0,70.68
59.89,15.73,84.27,0.61,1.37,49.66,50.34,1,79.95
50.53,21.99,78.01,1.33,4.27,54.12,45.88,0,75.27
41.23,15.94,84.06,0.86,1.95,54.21,45.79,0,70.61
48.33,22.55,77.45,9.08,1.88,50.64,49.36,0,74.17
42.4,21.43,78.57,0.74,1.15,55.41,44.59,0,71.2
41.65,18.52,81.48,7.0,4.31,52.32,47.68,0,70.83
50.99,20.64,79.36,2.64,1.83,52.47,47.53,0,75.5
44.58,24.02,75.98,7.83,3.25,52.7,47.3,0,72.29
49.31,20.58,79.42,0.29,0.58,53.66,46.34,0,74.65
53.23,22.35,77.65,0.11,2.44,53.87,46.13,0,76.61
45.91,15.01,84.99,8.99,4.5,49.31,50.69,1,72.96
59.92,16.79,83.21,3.46,1.29,48.79,51.21,1,79.96
45.34,23.64,76.36,1.25,1.46,55.24,44.76,0,72.67
53.56,18.73,81.27,7.53,2.67,49.21,50.79,1,76.78
50.77,24.07,75.93,7.65,3.23,51.62,48.38,0,75.38
59.99,17.5,82.5,9.63,0.74,46.24,53.76,1,80.0
45.48,21.34,78.66,5.29,4.06,53.08,46.92,0,72.74
41.64,23.85,76.15,3.53,1.12,54.92,45.08,0,70.82
52.18,22.29,77.71,6.57,0.93,50.8,49.2,0,76.09
53.56,17.99,82.01,3.94,1.24,50.31,49.69,0,76.78
46.67,18.85,81.15,0.32,1.1,53.79,46.21,0,73.34
50.08,18.82,81.18,2.21,3.48,52.59,47.41,0,75.04
47.14,16.6,83.4,9.29,1.37,48.75,51.25,1,73.57
47.79,18.03,81.97,3.75,0.44,51.5,48.5,0,73.9
41.94,22.02,77.98,0.24,4.9,56.74,43.26,0,70.97
46.49,16.97,83.03,3.35,1.45,51.87,48.13,0,73.25
49.12,16.83,83.17,6.19,1.61,49.91,50.09,1,74.56
41.01,17.16,82.84,8.33,3.31,51.2,48.8,0,70.51
53.66,16.68,83.32,5.11,1.29,49.3,50.7,1,76.83
43.62,20.05,79.95,8.39,1.04,50.96,49.04,0,71.81
44.62,20.57,79.43,2.93,3.35,54.03,45.97,0,72.31
58.79,24.42,75.58,0.05,4.15,53.89,46.11,0,79.39
45.96,23.0,77.0,0.5,0.09,54.98,45.02,0,72.98
45.37,16.03,83.97,5.03,0.11,50.76,49.24,0,72.68
43.94,23.62,76.38,8.74,3.52,52.33,47.67,0,71.97
58.92,21.84,78.16,1.99,3.13,51.86,48.14,0,79.46
49.12,24.16,75.84,0.38,1.41,55.01,44.99,0,74.56
49.19,18.18,81.82,0.11,0.75,53.01,46.99,0,74.59
40.46,16.23,83.77,3.3,2.04,53.3,46.7,0,70.23
51.82,21.03,78.97,2.39,2.18,52.61,47.39,0,75.91
41.85,15.46,84.54,7.6,2.88,50.76,49.24,0,70.93
54.82,23.95,76.05,2.04,1.23,53.01,46.99,0,77.41
59.21,22.18,77.82,4.88,5.0,51.01,48.99,0,79.61
54.89,20.16,79.84,5.86,2.65,50.2,49.8,0,77.44
57.18,19.59,80.41,0.52,2.75,51.95,48.05,0,78.59
49.67,18.66,81.34,2.75,4.13,52.5,47.5,0,74.84
54.11,20.18,79.82,4.83,0.81,50.47,49.53,0,77.06
58.51,17.85,82.15,5.04,3.45,49.18,50.82,1,79.26
47.45,22.93,77.07,8.73,4.89,51.7,48.3,0,73.72
47.06,21.57,78.43,6.65,3.88,52.13,47.87,0,73.53
55.16,24.73,75.27,1.64,1.22,53.4,46.6,0,77.58
58.29,19.42,80.58,7.18,3.74,48.91,51.09,1,79.15
46.97,20.58,79.42,2.32,4.26,53.97,46.03,0,73.48
53.34,15.77,84.23,3.1,0.85,49.89,50.11,1,76.67
45.67,21.7,78.3,6.39,0.91,51.98,48.02,0,72.83
41.71,21.52,78.48,0.74,2.27,55.84,44.16,0,70.86
51.64,17.21,82.79,6.49,0.2,49.07,50.93,1,75.82
41.44,22.71,77.29,4.67,0.43,53.93,46.07,0,70.72
53.64,23.31,76.69,3.96,1.93,52.27,47.73,0,76.82
44.98,24.82,75.18,5.36,3.98,54.22,45.78,0,72.49
43.96,15.67,84.33,5.33,0.77,50.98,49.02,0,71.98
59.87,17.86,82.14,8.05,1.79,47.28,52.72,1,79.94
40.66,20.74,79.26,0.77,0.48,55.48,44.52,0,70.33
45.27,24.42,75.58,0.62,2.84,56.08,43.92,0,72.63
58.66,24.02,75.98,3.55,0.98,51.62,48.38,0,79.33
48.77,18.9,81.1,6.31,2.9,50.86,49.14,0,74.39
46.62,23.89,76.11,6.42,2.62,52.81,47.19,0,73.31
47.74,21.1,78.9,0.51,3.36,54.64,45.36,0,73.87
42.21,18.57,81.43,3.82,2.34,53.35,46.65,0,71.1
56.3,18.71,81.29,5.0,3.8,50.02,49.98,0,78.15
55.46,19.25,80.75,4.03,0.9,50.26,49.74,0,77.73
42.69,18.95,81.05,2.67,2.21,53.88,46.12,0,71.35
41.02,15.66,84.34,3.77,1.48,52.64,47.36,0,70.51
47.06,20.37,79.63,0.42,3.73,54.68,45.32,0,73.53
55.19,19.94,80.06,1.65,1.15,51.68,48.32,0,77.59
50.55,19.36,80.64,3.81,1.51,51.53,48.47,0,75.27
59.54,19.02,80.98,5.54,4.05,49.3,50.7,1,79.77
46.71,22.03,77.97,0.44,2.31,54.99,45.01,0,73.35
49.42,22.12,77.88,3.82,0.44,52.46,47.54,0,74.71
48.88,20.63,79.37,7.71,1.5,50.47,49.53,0,74.44
59.65,15.24,84.76,4.87,2.42,47.86,52.14,1,79.82
43.02,17.0,83.0,1.96,3.58,53.85,46.15,0,71.51
48.64,17.2,82.8,4.86,4.9,51.42,48.58,0,74.32
59.45,21.62,78.38,0.04,2.38,52.39,47.61,0,79.73
58.66,15.22,84.78,2.74,2.88,49.08,50.92,1,79.33
55.82,23.58,76.42,6.96,0.46,50.33,49.67,0,77.91
49.52,23.53,76.47,1.63,3.47,54.54,45.46,0,74.76
56.09,20.66,79.34,4.36,2.8,50.85,49.15,0,78.04
43.34,18.2,81.8,9.33,2.31,50.26,49.74,0,71.67
48.21,16.21,83.79,3.22,4.01,51.79,48.21,0,74.11
59.34,18.58,81.42,1.94,3.25,50.61,49.39,0,79.67
49.93,16.59,83.41,4.0,1.72,50.69,49.31,0,74.96
42.43,19.49,80.51,6.81,4.76,52.61,47.39,0,71.22
56.73,24.55,75.45,7.65,3.88,50.87,49.13,0,78.36
42.15,18.23,81.77,2.44,3.76,54.24,45.76,0,71.08
